compound_name,chembl_id,found
Dibromoacetic acid,CHEMBL449362,True
N-nitrosodimethylamine,CHEMBL117311,True
Edetate Calcium Disodium,,False
Ibuprofen,CHEMBL521,True
Myriocin,CHEMBL55076,True
PDMP,,False
D609,,False
D-beta-hydroxybutyrate,,False
Tryptophan,CHEMBL54976,True
Threonine,CHEMBL291747,True
Tyrosine,CHEMBL925,True
Valine,CHEMBL43068,True
Xylose,CHEMBL1236821,True
Gluconic acid,CHEMBL464345,True
Putrescine,CHEMBL46257,True
Ribose,,False
Serine,CHEMBL11298,True
Succinate,,False
Taurine,CHEMBL239243,True
Lysine,CHEMBL8085,True
Methionine,CHEMBL42336,True
N-acetyl-l-histidine,,False
Ornithine,CHEMBL446143,True
Phosphoenolpyruvate,CHEMBL1235228,True
Picolinic acid,,False
Inositol,CHEMBL1222251,True
Isoleucine,CHEMBL1233584,True
Leucine,CHEMBL291962,True
L-histidine methyl ester,,False
Homocysteine,CHEMBL310604,True
DL-lactate,,False
Galactose,CHEMBL6067641,True
Glutamate,,False
Glutamine,CHEMBL930,True
Glycerol,,False
Glycine,CHEMBL773,True
Histidine,CHEMBL17962,True
Carnosine,CHEMBL242948,True
Betaine,CHEMBL95889,True
Cysteine,CHEMBL863,True
D-alanine,CHEMBL66693,True
D-aspartate,CHEMBL29757,True
D-glutamate,CHEMBL76232,True
Alanine,CHEMBL279597,True
Arginine,CHEMBL1485,True
Asparagine,CHEMBL58832,True
Beta-alanine,CHEMBL297569,True
Caprylate,,False
10-hydroxy-2-decenoic Acid,,False
Rifampicin,,False
Rifamycin SV,,False
Agmatine,CHEMBL58343,True
N-acetyl-L-cysteine,,False
Echinacoside,CHEMBL393090,True
Dehydroabietic acid,CHEMBL12850,True
(S)-2-hydroxyglutarate,,False
Verminoside,CHEMBL462888,True
Arctigenin,CHEMBL435734,True
Arctiin,CHEMBL388452,True
Lappaol C,,False
Matairesinol,CHEMBL425148,True
Lappaol F,,False
Otophylloside B,,False
Oleanolic acid,,False
Folic acid,CHEMBL1622,True
Vitexin,CHEMBL487417,True
Fucoxanthin,CHEMBL1773903,True
(R)-2-hydroxyglutarate,,False
Pyruvate,CHEMBL1162144,True
Dafachronic Acid,,False
Geldanamycin,CHEMBL278315,True
LY-294002,CHEMBL98350,True
Allantoin,CHEMBL593429,True
Trichostatin A,,False
Chlorophyll,,False
Tyrosine-Alanine Dipeptide,,False
Withanolide A,CHEMBL445041,True
Captopril,CHEMBL1560,True
Sodium Chloride,CHEMBL1200574,True
Potassium Chloride,CHEMBL1200731,True
Urolithin A,,False
Chlorogenic Acid,CHEMBL284616,True
Oxyresveratrol,CHEMBL43065,True
Pyrroloquinoline quinone,CHEMBL1235421,True
TPEN,,False
Fructose,CHEMBL1232863,True
Salicylamine,,False
Urolithin B,,False
Urolithin C,,False
Urolithin D,,False
M084,,False
Dimethyl Sulfide,,False
Tomatidine,CHEMBL2165711,True
Oleic Acid,CHEMBL8659,True
Palmitoleic acid,CHEMBL453509,True
cis-vaccenic acid ,,False
Piceatannol,CHEMBL69863,True
Diethyl Maleate,CHEMBL2037000,True
Silymarin,CHEMBL4630684,True
Silydianin,,False
"2,3-dehydrosilybin",,False
"2,3-Dehydrosilybin B",,False
Colanic acid,,False
Triptolide,CHEMBL463763,True
Calycosin,CHEMBL241608,True
Selenocysteine,CHEMBL109962,True
Emodin,CHEMBL289277,True
Indole,CHEMBL15844,True
para-topolin,,False
Shatavarin IV,,False
D-Allulose,,False
Diosgenin,,False
S-allylmercapto-N-acetylcysteine,,False
Naringin,CHEMBL451532,True
Luteolin,CHEMBL151,True
Arbutin,CHEMBL232202,True
Ikarugamycin,CHEMBL260361,True
Hydralazine,CHEMBL276832,True
Kinetin,CHEMBL228792,True
N6-benzyladenine,,False
ortho-topolin,,False
Sesamol,,False
Xanthine,CHEMBL1424,True
1-methylxanthine,CHEMBL1250,True
3-methylxanthine,CHEMBL619,True
7-methylxanthine,CHEMBL321248,True
"1,7-dimethylxanthine",,False
"2,5-Di-tert-butylhydroquinone",,False
