compound_name,chembl_id,found
LIFITEGRAST,CHEMBL2048028,True
PENTOLINIUM,CHEMBL1271,True
ENSARTINIB,CHEMBL4113131,True
PRAMOXINE HYDROCHLORIDE,CHEMBL1201171,True
RALOXIFENE HYDROCHLORIDE,CHEMBL1116,True
OXYPHENCYCLIMINE,CHEMBL1495,True
METARAMINOL BITARTRATE,CHEMBL2062262,True
ARIPIPRAZOLE,CHEMBL1112,True
BAZEDOXIFENE ACETATE,CHEMBL2106615,True
ESTRONE SULFURIC ACID,CHEMBL494753,True
DYPHYLLINE,CHEMBL1752,True
VORINOSTAT,CHEMBL98,True
KRYPTON KR 81M,CHEMBL1201096,True
DINOPROSTONE,CHEMBL548,True
LEVOLEUCOVORIN CALCIUM,CHEMBL1908361,True
STREPTOZOCIN,CHEMBL1977579,True
DOLASETRON MESYLATE,CHEMBL2368924,True
ENALAPRILAT,CHEMBL3989406,True
ROSE BENGAL SODIUM I 131,CHEMBL3989461,True
TOBRAMYCIN SULFATE,CHEMBL3989564,True
AMLODIPINE MALEATE,CHEMBL1200984,True
SODIUM MONOFLUOROPHOSPHATE,CHEMBL1908359,True
PIRFENIDONE,CHEMBL1256391,True
DABIGATRAN ETEXILATE,CHEMBL539697,True
CYTARABINE,CHEMBL803,True
SULFADICRAMIDE,CHEMBL2104910,True
ESTETROL ANHYDROUS,CHEMBL1230314,True
INFIGRATINIB,CHEMBL1852688,True
GLUCONOLACTONE,CHEMBL1200829,True
DOCETAXEL ANHYDROUS,CHEMBL92,True
HYDROCORTISONE PHOSPHORIC ACID,CHEMBL1641,True
BROMFENAC SODIUM,CHEMBL3181947,True
FLUCICLOVINE F18,CHEMBL254468,True
NEPAFENAC,CHEMBL1021,True
ACRIVASTINE,CHEMBL1224,True
ALLOPURINOL,CHEMBL1467,True
REPOTRECTINIB,CHEMBL4298138,True
MEPERIDINE,CHEMBL607,True
VILDAGLIPTIN,CHEMBL142703,True
EDETATE CALCIUM DISODIUM ANHYDROUS,CHEMBL1200375,True
SULFACETAMIDE,CHEMBL455,True
OXYCODONE TEREPHTHALATE,CHEMBL3989826,True
DIBROMSALAN,CHEMBL21869,True
FLUOROESTRADIOL,CHEMBL1627367,True
NABUMETONE,CHEMBL1070,True
STRONTIUM CHLORIDE SR 89,CHEMBL1200625,True
DESLANOSIDE,CHEMBL1614,True
PLERIXAFOR,CHEMBL18442,True
THIETHYLPERAZINE,CHEMBL1378,True
ARMODAFINIL,CHEMBL1201192,True
BROMPHENIRAMINE,CHEMBL811,True
ELAGOLIX,CHEMBL1208155,True
LINCOMYCIN HYDROCHLORIDE,CHEMBL3989551,True
MICAFUNGIN,CHEMBL457547,True
MELPHALAN FLUFENAMIDE,CHEMBL4303060,True
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,CHEMBL1200955,True
TRAZODONE,CHEMBL621,True
EPLERENONE,CHEMBL1095097,True
SEVOFLURANE,CHEMBL1200694,True
CROMOLYN SODIUM,CHEMBL74,True
PAROXETINE MESYLATE,CHEMBL1200609,True
DAPAGLIFLOZIN,CHEMBL429910,True
BITHIONOL,CHEMBL290106,True
BENZTHIAZIDE,CHEMBL1201039,True
CANTHARIDIN,CHEMBL48449,True
LEVOMILNACIPRAN,CHEMBL99946,True
ELETRIPTAN,CHEMBL1510,True
DIPHENOXYLATE HYDROCHLORIDE,CHEMBL1200665,True
PERAMIVIR,CHEMBL3989402,True
GLYCEROL PHENYLBUTYRATE,CHEMBL2105745,True
LATANOPROSTENE BUNOD,CHEMBL2364612,True
TESTOSTERONE ENANTHATE,CHEMBL1200335,True
TRETINOIN,CHEMBL38,True
METHYPRYLON,CHEMBL1200790,True
LEVOMILNACIPRAN HYDROCHLORIDE,CHEMBL2105732,True
DISULFIRAM,CHEMBL964,True
PERFLUBRON,CHEMBL1200866,True
DEXAMETHASONE PHOSPHORIC ACID,CHEMBL1201302,True
IBREXAFUNGERP,CHEMBL4297513,True
PREDNISOLONE TEBUTATE,CHEMBL1200909,True
SUCCINYLCHOLINE CHLORIDE,CHEMBL983,True
NALMEFENE HYDROCHLORIDE DIHYDRATE,CHEMBL5315055,True
HYDROCORTISONE CYPIONATE,CHEMBL1549,True
GUANADREL SULFATE,CHEMBL3184143,True
AMISULPRIDE,CHEMBL243712,True
PIPAMAZINE,CHEMBL1909072,True
HYDROFLUMETHIAZIDE,CHEMBL1763,True
THONZONIUM,CHEMBL1201322,True
ETHAMBUTOL,CHEMBL44884,True
MICONAZOLE NITRATE,CHEMBL1559,True
RIOCIGUAT,CHEMBL2107834,True
ALITRETINOIN,CHEMBL705,True
TECOVIRIMAT,CHEMBL1257073,True
ANAGLIPTIN,CHEMBL1929396,True
MONOBENZONE,CHEMBL1388,True
PENICILLIN G PROCAINE,CHEMBL1200936,True
NAPHAZOLINE,CHEMBL761,True
FLUTEMETAMOL,CHEMBL579205,True
SPIRONOLACTONE,CHEMBL1393,True
MIDODRINE,CHEMBL1201212,True
VABORBACTAM,CHEMBL3317857,True
APROBARBITAL,CHEMBL7863,True
METHYSERGIDE MALEATE,CHEMBL1200938,True
AZLOCILLIN SODIUM,CHEMBL1201041,True
PRANLUKAST,CHEMBL21333,True
RADIUM DICHLORIDE,CHEMBL2111187,True
TOPIRAMATE,CHEMBL220492,True
APRACLONIDINE HYDROCHLORIDE,CHEMBL1200379,True
PHENYLBUTAZONE,CHEMBL101,True
CISAPRIDE MONOHYDRATE,CHEMBL1200788,True
HALAZEPAM,CHEMBL970,True
ALCAFTADINE,CHEMBL1201747,True
AVATROMBOPAG,CHEMBL2103883,True
BETA CAROTENE,CHEMBL1293,True
ZOLEDRONIC ACID ANHYDROUS,CHEMBL924,True
ESZOPICLONE,CHEMBL1522,True
DEFEROXAMINE MESYLATE,CHEMBL1234,True
BRILLIANT BLUE G,CHEMBL4173394,True
DEXTROSE,CHEMBL1222250,True
HEXACHLOROPHENE,CHEMBL496,True
AMPHETAMINE ADIPATE,CHEMBL1200387,True
METIPRANOLOL,CHEMBL1291,True
DILTIAZEM MALATE,CHEMBL1200805,True
CEFTAROLINE FOSAMIL,CHEMBL501122,True
ETIDRONATE DISODIUM,CHEMBL1201042,True
ERDAFITINIB,CHEMBL3545376,True
DIGITOXIN,CHEMBL254219,True
NORELGESTROMIN,CHEMBL1200807,True
CHLORTHALIDONE,CHEMBL1055,True
ACETOPHENAZINE MALEATE,CHEMBL2360079,True
DORAVIRINE,CHEMBL2364608,True
HYDROXYSTILBAMIDINE,CHEMBL1301,True
METHYLPHENIDATE HYDROCHLORIDE,CHEMBL1722,True
VINORELBINE TARTRATE,CHEMBL538943,True
PROGESTERONE,CHEMBL103,True
HISTAMINE PHOSPHATE,CHEMBL3989520,True
PLICAMYCIN,CHEMBL1237054,True
TRIDIHEXETHYL CHLORIDE,CHEMBL1200771,True
ANAGRELIDE HYDROCHLORIDE,CHEMBL1200759,True
DORIPENEM,CHEMBL491571,True
CLONIDINE,CHEMBL134,True
PENTOXIFYLLINE,CHEMBL628,True
METHOCARBAMOL,CHEMBL1201117,True
METHOXAMINE,CHEMBL524,True
ERTAPENEM SODIUM,CHEMBL1232,True
FENOTEROL,CHEMBL32800,True
LUMEFANTRINE,CHEMBL38827,True
ACETAZOLAMIDE,CHEMBL20,True
ANILERIDINE HYDROCHLORIDE,CHEMBL1201047,True
IVOSIDENIB,CHEMBL3989958,True
CEFUROXIME SODIUM,CHEMBL2146124,True
PHENIRAMINE MALEATE,CHEMBL1653,True
PRALSETINIB,CHEMBL4582651,True
PRUCALOPRIDE SUCCINATE,CHEMBL2105748,True
PYRILAMINE,CHEMBL511,True
CLOFARABINE,CHEMBL1750,True
IVACAFTOR,CHEMBL2010601,True
BELZUTIFAN,CHEMBL4585668,True
SULFAMETHAZINE,CHEMBL446,True
FOSAPREPITANT DIMEGLUMINE,CHEMBL1201782,True
NIROGACESTAT,CHEMBL1770916,True
ESCITALOPRAM,CHEMBL1508,True
MEGLUMINE,CHEMBL1200570,True
FENSPIRIDE,CHEMBL576127,True
VOXILAPREVIR,CHEMBL3707372,True
PONATINIB,CHEMBL1171837,True
THIOTHIXENE,CHEMBL1201,True
MEPENZOLATE,CHEMBL524004,True
OXYBUTYNIN CHLORIDE,CHEMBL1133,True
RIVAROXABAN,CHEMBL198362,True
CANAGLIFLOZIN,CHEMBL4594217,True
CAFFEINE CITRATE,CHEMBL1200569,True
IDARUBICIN HYDROCHLORIDE,CHEMBL1200976,True
TAFAMIDIS,CHEMBL2103837,True
LOFEXIDINE HYDROCHLORIDE,CHEMBL1788132,True
DIPHENIDOL,CHEMBL936,True
METHIODAL,CHEMBL2110978,True
BREXANOLONE,CHEMBL207538,True
SONIDEGIB,CHEMBL2105737,True
AMINOPYRINE,CHEMBL288470,True
TERIFLUNOMIDE,CHEMBL973,True
LEVOBETAXOLOL HYDROCHLORIDE,CHEMBL1200837,True
ASCIMINIB,CHEMBL4208229,True
NORETHINDRONE ACETATE,CHEMBL1201146,True
TIZANIDINE HYDROCHLORIDE,CHEMBL1200329,True
MIGLITOL,CHEMBL1561,True
HALOFANTRINE HYDROCHLORIDE,CHEMBL1200901,True
IOMEPROL,CHEMBL2107214,True
PENTAZOCINE LACTATE,CHEMBL3989509,True
METHANDROSTENOLONE,CHEMBL1418176,True
PARITAPREVIR,CHEMBL3391662,True
AMPRENAVIR,CHEMBL116,True
DEXTROAMPHETAMINE ADIPATE,CHEMBL1200782,True
FEXOFENADINE HYDROCHLORIDE,CHEMBL1200618,True
VALSARTAN,CHEMBL1069,True
CALCIUM GLUCEPTATE,CHEMBL1237066,True
BUCETIN,CHEMBL1697856,True
ROSIGLITAZONE MALEATE,CHEMBL843,True
MOCLOBEMIDE,CHEMBL86304,True
ZOLEDRONIC ACID,CHEMBL4303669,True
BETHANECHOL,CHEMBL1482,True
FLECAINIDE,CHEMBL652,True
ETIDOCAINE HYDROCHLORIDE,CHEMBL1200597,True
APOMORPHINE HYDROCHLORIDE,CHEMBL3187985,True
STAVUDINE,CHEMBL991,True
FENOFIBRIC ACID,CHEMBL981,True
IOBENGUANE I 131,CHEMBL1615779,True
METHOPHOLINE,CHEMBL2106915,True
GIVINOSTAT HYDROCHLORIDE,CHEMBL6068400,True
LEVOBUPIVACAINE HYDROCHLORIDE,CHEMBL1200749,True
PRAZIQUANTEL,CHEMBL976,True
TENOFOVIR DISOPROXIL,CHEMBL1538,True
CILASTATIN,CHEMBL766,True
DOXYCYCLINE HYCLATE,CHEMBL3989740,True
FELODIPINE,CHEMBL1480,True
PIXANTRONE,CHEMBL167731,True
TESTOLACTONE,CHEMBL1571,True
UPADACITINIB HEMIHYDRATE,CHEMBL5315119,True
CEFACLOR,CHEMBL1201018,True
PANOBINOSTAT LACTATE,CHEMBL3545368,True
OMEPRAZOLE,CHEMBL1503,True
TRIAZOLAM,CHEMBL646,True
TRILOSTANE,CHEMBL1200907,True
BENAZEPRIL,CHEMBL838,True
RANITIDINE HYDROCHLORIDE,CHEMBL2110372,True
PIBRENTASVIR,CHEMBL3545123,True
ISONIAZID,CHEMBL64,True
BUNAMIODYL,CHEMBL2110636,True
NALBUPHINE,CHEMBL895,True
HALOTHANE,CHEMBL931,True
PRUCALOPRIDE,CHEMBL117287,True
CYCLOSERINE,CHEMBL771,True
SODIUM OXYBATE,CHEMBL1200682,True
PACRITINIB CITRATE,CHEMBL5095049,True
PROBENECID,CHEMBL897,True
METHYLDOPATE HYDROCHLORIDE,CHEMBL1200432,True
CLOXACILLIN,CHEMBL891,True
PIFLUFOLASTAT,CHEMBL4299851,True
GOSOGLIPTIN,CHEMBL515387,True
MOXISYLYTE,CHEMBL159226,True
MUPIROCIN,CHEMBL719,True
DOXERCALCIFEROL,CHEMBL1200810,True
"GLYCEROL, IODINATED",CHEMBL2105827,True
PROPANIDID,CHEMBL2105345,True
LAPATINIB DITOSYLATE,CHEMBL1201179,True
RABEPRAZOLE,CHEMBL1219,True
AMINOHIPPURATE SODIUM,CHEMBL1200365,True
PRALIDOXIME CHLORIDE,CHEMBL748,True
CHLOPHEDIANOL HYDROCHLORIDE,CHEMBL1200972,True
INDOCYANINE GREEN,CHEMBL1646,True
LASMIDITAN,CHEMBL3039520,True
PICOSULFURIC ACID,CHEMBL1741134,True
OCTINOXATE,CHEMBL3183184,True
RITLECITINIB TOSYLATE,CHEMBL5314649,True
CASPOFUNGIN ACETATE,CHEMBL5314378,True
SODIUM ACETATE,CHEMBL1354,True
RUBIDIUM CHLORIDE RB 82,CHEMBL1200727,True
HYDROCHLOROTHIAZIDE,CHEMBL435,True
SULCONAZOLE,CHEMBL1221,True
CEFEPIME HYDROCHLORIDE,CHEMBL1200962,True
MEPREDNISONE,CHEMBL1201148,True
TAZEMETOSTAT HYDROBROMIDE,CHEMBL4594260,True
FLUOXETINE,CHEMBL41,True
SONIDEGIB PHOSPHATE,CHEMBL3137317,True
SOLIFENACIN,CHEMBL1734,True
MAGNESIUM ACETATE TETRAHYDRATE,CHEMBL3989858,True
ALATROFLOXACIN MESYLATE,CHEMBL1200498,True
FLUTICASONE PROPIONATE,CHEMBL1473,True
LEVODOPA,CHEMBL1009,True
BRILLIANT BLUE G FREE ACID,CHEMBL4301898,True
TRAMADOL HYDROCHLORIDE,CHEMBL1237065,True
METHDILAZINE HYDROCHLORIDE,CHEMBL1200532,True
TROVAFLOXACIN MESYLATE,CHEMBL1200779,True
MOMELOTINIB,CHEMBL1078178,True
BRIMONIDINE,CHEMBL844,True
PROCHLORPERAZINE,CHEMBL728,True
"SODIUM PHOSPHATE, DIBASIC",CHEMBL2107560,True
GLAFENINE,CHEMBL146095,True
TIPRANAVIR,CHEMBL222559,True
CEFUROXIME,CHEMBL1436,True
DRONEDARONE,CHEMBL184412,True
VORICONAZOLE,CHEMBL638,True
ENASIDENIB MESYLATE,CHEMBL3989931,True
PHENELZINE SULFATE,CHEMBL1200895,True
MOEXIPRIL,CHEMBL1165,True
LASMIDITAN SUCCINATE,CHEMBL3039526,True
DANICOPAN,CHEMBL4250860,True
PIRBUTEROL ACETATE,CHEMBL1200444,True
CODEINE,CHEMBL485,True
AMODIAQUINE HYDROCHLORIDE,CHEMBL1357648,True
PHENSUXIMIDE,CHEMBL797,True
CLINDAMYCIN PALMITATE HYDROCHLORIDE,CHEMBL1200632,True
GILTERITINIB FUMARATE,CHEMBL3301603,True
CARBENICILLIN INDANYL SODIUM,CHEMBL1200991,True
RIBOCICLIB,CHEMBL3545110,True
DEXAMETHASONE ACETATE,CHEMBL1530428,True
SELEGILINE,CHEMBL972,True
HELIUM,CHEMBL1796997,True
TRIAMCINOLONE,CHEMBL1451,True
MEGLUMINE METRIZOATE,CHEMBL1200353,True
PINACIDIL ANHYDROUS,CHEMBL1159,True
ACAMPROSATE CALCIUM,CHEMBL2068724,True
OXAZEPAM,CHEMBL568,True
GUANETHIDINE,CHEMBL765,True
THIAMINE,CHEMBL1588,True
AMBENONIUM,CHEMBL1652,True
SOTALOL,CHEMBL471,True
MARIBAVIR,CHEMBL515408,True
AVAPRITINIB,CHEMBL4204794,True
REVUMENIB,CHEMBL4650827,True
FAVIPIRAVIR,CHEMBL221722,True
PIPERAZINE CITRATE ANHYDROUS,CHEMBL3990694,True
LORAZEPAM,CHEMBL580,True
HYDROCODONE,CHEMBL1457,True
ACEBUTOLOL,CHEMBL642,True
PHTHALYLSULFATHIAZOLE,CHEMBL1524273,True
FLORTAUCIPIR,CHEMBL3546271,True
TOPOTECAN,CHEMBL84,True
METHSUXIMIDE,CHEMBL697,True
DIPHENHYDRAMINE HYDROCHLORIDE,CHEMBL1620,True
HYDROCORTAMATE,CHEMBL1201263,True
CHLORAMPHENICOL SODIUM SUCCINATE,CHEMBL1200729,True
QUINESTROL,CHEMBL1201165,True
TRIMETHAPHAN,CHEMBL1201329,True
CEFOTIAM,CHEMBL1296,True
SELUMETINIB,CHEMBL1614701,True
DESERPIDINE,CHEMBL1200515,True
LORCASERIN,CHEMBL360328,True
TICLOPIDINE,CHEMBL833,True
VINCRISTINE,CHEMBL90555,True
TETRAHYDROZOLINE HYDROCHLORIDE,CHEMBL1200413,True
PHENDIMETRAZINE TARTRATE,CHEMBL2062163,True
BUTALBITAL,CHEMBL454,True
PRACTOLOL,CHEMBL6995,True
OXACILLIN,CHEMBL819,True
DIETHYLPROPION,CHEMBL1194666,True
BUTORPHANOL,CHEMBL33986,True
ESFLURBIPROFEN,CHEMBL435298,True
ANTAZOLINE,CHEMBL1305,True
DECITABINE,CHEMBL1201129,True
SIROLIMUS,CHEMBL413,True
IDELALISIB,CHEMBL2216870,True
METHAZOLAMIDE,CHEMBL19,True
MERCAPTOPURINE ANHYDROUS,CHEMBL1425,True
SUXAMETHONIUM,CHEMBL703,True
PERFLENAPENT,CHEMBL1899801,True
ATAZANAVIR,CHEMBL1163,True
FOSTEMSAVIR,CHEMBL3301594,True
PITAVASTATIN CALCIUM,CHEMBL1237061,True
IOPROMIDE,CHEMBL1725,True
TETRACAINE HYDROCHLORIDE,CHEMBL1255654,True
LULICONAZOLE,CHEMBL2105689,True
OLODATEROL HYDROCHLORIDE,CHEMBL2105743,True
MEPHENTERMINE SULFATE,CHEMBL3184799,True
SULFADOXINE,CHEMBL1539,True
DEXTROMETHORPHAN,CHEMBL52440,True
LEVOMEPROMAZINE,CHEMBL1764,True
DAROLUTAMIDE,CHEMBL4297185,True
BUMETANIDE,CHEMBL1072,True
PRAZEPAM,CHEMBL969,True
SITAGLIPTIN,CHEMBL1422,True
SAQUINAVIR MESYLATE,CHEMBL282042,True
PIRTOBRUTINIB,CHEMBL4650485,True
GEPIRONE HYDROCHLORIDE,CHEMBL1204187,True
EPINASTINE,CHEMBL1106,True
PROTRIPTYLINE HYDROCHLORIDE,CHEMBL1200332,True
DONEPEZIL HYDROCHLORIDE,CHEMBL1678,True
IOPHENDYLATE,CHEMBL951,True
ETHINAMATE,CHEMBL1576,True
MINAPRINE HYDROCHLORIDE,CHEMBL1364551,True
SECNIDAZOLE,CHEMBL498847,True
CHLORPROTHIXENE,CHEMBL908,True
INDALPINE,CHEMBL276520,True
METHYL AMINOLEVULINATE,CHEMBL1096562,True
ENCAINIDE,CHEMBL315838,True
IPRATROPIUM,CHEMBL1621597,True
DAUNORUBICIN CITRATE,CHEMBL1200475,True
FLIBANSERIN,CHEMBL231068,True
ERGOTAMINE TARTRATE,CHEMBL2448612,True
ARIMOCLOMOL,CHEMBL2107726,True
VINFLUNINE,CHEMBL2110725,True
TROXERUTIN,CHEMBL3182320,True
ACLIDINIUM BROMIDE,CHEMBL551466,True
HYDROXYZINE HYDROCHLORIDE,CHEMBL3186993,True
AMLODIPINE,CHEMBL1491,True
METOCLOPRAMIDE HYDROCHLORIDE,CHEMBL1200940,True
DIETHYLCARBAMAZINE,CHEMBL684,True
TROFINETIDE,CHEMBL197084,True
TAZOBACTAM SODIUM,CHEMBL1439,True
TESTOSTERONE,CHEMBL386630,True
TERBUTALINE,CHEMBL1760,True
FAMCICLOVIR,CHEMBL880,True
PROBUCOL,CHEMBL608,True
SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE,CHEMBL6068334,True
METHYSERGIDE,CHEMBL1065,True
SUVOREXANT,CHEMBL1083659,True
TRIACETYLDIPHENOLISATIN,CHEMBL1909288,True
PERGOLIDE MESYLATE,CHEMBL1275,True
MESALAMINE,CHEMBL704,True
ANISOTROPINE,CHEMBL1186610,True
FLORBETAPIR F 18,CHEMBL1774461,True
EPHEDRINE HYDROCHLORIDE,CHEMBL2146102,True
ALBUTEROL SULFATE,CHEMBL1441059,True
NELARABINE,CHEMBL1201112,True
VORTIOXETINE,CHEMBL2104993,True
OLOPATADINE HYDROCHLORIDE,CHEMBL1719,True
CEFTIBUTEN DIHYDRATE,CHEMBL1200985,True
CICLOPIROX,CHEMBL1413,True
INAMRINONE,CHEMBL12856,True
FINERENONE,CHEMBL2181927,True
TREPROSTINIL SODIUM,CHEMBL561157,True
ACETRIZOATE SODIUM,CHEMBL1201045,True
PIPERACILLIN,CHEMBL702,True
LINDANE,CHEMBL15891,True
MOFEZOLAC,CHEMBL259972,True
LOTILANER,CHEMBL3707310,True
RIMONABANT,CHEMBL111,True
IOCETAMIC ACID,CHEMBL1200770,True
PRIMIDONE,CHEMBL856,True
PROXIBARBAL,CHEMBL2105233,True
ABROCITINIB,CHEMBL3655081,True
HETACILLIN POTASSIUM,CHEMBL1201121,True
OXYBATE,CHEMBL1342,True
POLYTHIAZIDE,CHEMBL1587,True
PENICILLIN G BENZATHINE,CHEMBL3989515,True
MEBENDAZOLE,CHEMBL685,True
DOXAPRAM,CHEMBL1754,True
METHAMPHETAMINE,CHEMBL1201201,True
TERAZOSIN HYDROCHLORIDE,CHEMBL3989562,True
ZIPRASIDONE HYDROCHLORIDE,CHEMBL1375743,True
CIPROFLOXACIN,CHEMBL8,True
HYDROCORTISONE SODIUM PHOSPHATE,CHEMBL1200968,True
ZANUBRUTINIB,CHEMBL3936761,True
LEVOPROPOXYPHENE,CHEMBL1738990,True
PALIPERIDONE,CHEMBL1621,True
UREA C 14,CHEMBL2096635,True
GRANISETRON HYDROCHLORIDE,CHEMBL1237080,True
BROMODIPHENHYDRAMINE,CHEMBL1201245,True
ANAGRELIDE,CHEMBL760,True
DESOXYCORTICOSTERONE PIVALATE,CHEMBL1200592,True
MENADIOL SODIUM DIPHOSPHATE,CHEMBL3989728,True
BUCLIZINE,CHEMBL1201271,True
EFAVIRENZ,CHEMBL223228,True
RASAGILINE MESYLATE,CHEMBL1201142,True
PALIPERIDONE PALMITATE,CHEMBL2107360,True
CYCRIMINE,CHEMBL1201227,True
BENZGALANTAMINE,CHEMBL5095056,True
PONESIMOD,CHEMBL1096146,True
METHYLDOPA,CHEMBL459,True
RALTITREXED,CHEMBL225071,True
CEFOTETAN DISODIUM,CHEMBL1201098,True
ENALAPRILAT ANHYDROUS,CHEMBL577,True
PENICILLIN V,CHEMBL615,True
CITALOPRAM,CHEMBL549,True
DIATRIZOIC ACID,CHEMBL1201220,True
CAPMATINIB HYDROCHLORIDE,CHEMBL3989937,True
TELITHROMYCIN,CHEMBL1136,True
ETHIONAMIDE,CHEMBL1441,True
IMIPENEM ANHYDROUS,CHEMBL148,True
HYDROXYSTILBAMIDINE ISETHIONATE,CHEMBL2023895,True
PROPRANOLOL HYDROCHLORIDE,CHEMBL1671,True
INDOPROFEN,CHEMBL15870,True
PEMOLINE,CHEMBL1177,True
BETHANIDINE SULFATE,CHEMBL2110368,True
CHLOROXINE,CHEMBL1200596,True
CHLOROQUINE HYDROCHLORIDE,CHEMBL4297165,True
TROSPIUM,CHEMBL1888176,True
FLUNISOLIDE,CHEMBL1512,True
BUPRENORPHINE HYDROCHLORIDE,CHEMBL2368861,True
DRONABINOL,CHEMBL465,True
LABETALOL HYDROCHLORIDE,CHEMBL1200323,True
IODIPAMIDE SODIUM,CHEMBL1200350,True
SIMEPREVIR SODIUM,CHEMBL3137358,True
RISDIPLAM,CHEMBL4297528,True
POTASSIUM CITRATE ANHYDROUS,CHEMBL1200458,True
DEXBROMPHENIRAMINE,CHEMBL1201287,True
PLAZOMICIN,CHEMBL1650559,True
DOCETAXEL,CHEMBL3545252,True
TROLEANDOMYCIN,CHEMBL564085,True
IPTACOPAN HYDROCHLORIDE,CHEMBL5095401,True
PRAVASTATIN,CHEMBL1144,True
FROVATRIPTAN,CHEMBL1279,True
TERBINAFINE,CHEMBL822,True
HYDROCODONE BITARTRATE,CHEMBL3989677,True
IMIPRAMINE PAMOATE,CHEMBL3989845,True
PENCICLOVIR,CHEMBL1540,True
MEPIVACAINE,CHEMBL1087,True
TENOFOVIR DISOPROXIL FUMARATE,CHEMBL1486,True
TIVOZANIB HYDROCHLORIDE,CHEMBL2105756,True
CLOBENZOREX,CHEMBL1213251,True
MAGNESIUM OXIDE,CHEMBL1200572,True
FLURAZEPAM,CHEMBL968,True
EVANS BLUE FREE ACID,CHEMBL1015,True
IOPANOIC ACID,CHEMBL867,True
METHAPYRILENE,CHEMBL1411979,True
ACEBUTOLOL HYDROCHLORIDE,CHEMBL1200813,True
PANTOPRAZOLE,CHEMBL1502,True
IOXITALAMIC ACID,CHEMBL2107239,True
OTESECONAZOLE,CHEMBL3311228,True
TESTOSTERONE UNDECANOATE,CHEMBL2107067,True
CODEINE SULFATE,CHEMBL4297091,True
CINACALCET,CHEMBL1201284,True
XENON XE 133,CHEMBL1200685,True
MAZINDOL,CHEMBL781,True
NETARSUDIL,CHEMBL4594250,True
INDAPAMIDE,CHEMBL406,True
LOMEFLOXACIN,CHEMBL561,True
OLAPARIB,CHEMBL521686,True
AMINOGLUTETHIMIDE,CHEMBL488,True
BETAMETHASONE DIPROPIONATE,CHEMBL1200384,True
VORTIOXETINE HYDROBROMIDE,CHEMBL2107387,True
DARIFENACIN HYDROBROMIDE,CHEMBL1200935,True
BITOLTEROL,CHEMBL1201295,True
VARENICLINE,CHEMBL1076903,True
IBUPROFEN SODIUM,CHEMBL3989408,True
ZAVEGEPANT HYDROCHLORIDE,CHEMBL4650220,True
LACOSAMIDE,CHEMBL58323,True
TERODILINE,CHEMBL363295,True
LEVOKETOCONAZOLE,CHEMBL295698,True
OSIMERTINIB,CHEMBL3353410,True
RIBOFLAVIN 5'-PHOSPHATE SODIUM,CHEMBL3989697,True
ETHOPROPAZINE,CHEMBL1206,True
OSILODROSTAT,CHEMBL3099695,True
BICTEGRAVIR,CHEMBL3989866,True
EPINASTINE HYDROCHLORIDE,CHEMBL1200491,True
DELAFLOXACIN,CHEMBL2105637,True
FLURPIRIDAZ F 18,CHEMBL2107799,True
CEFMENOXIME,CHEMBL1201224,True
CALCIUM CHLORIDE,CHEMBL1200668,True
TELOTRISTAT ETHYL,CHEMBL2105695,True
ISOSORBIDE MONONITRATE,CHEMBL1311,True
LEVORPHANOL TARTRATE,CHEMBL3989768,True
MELOXICAM,CHEMBL599,True
TAFAMIDIS MEGLUMINE,CHEMBL2105675,True
DISOPYRAMIDE PHOSPHATE,CHEMBL1201020,True
TROPICAMIDE,CHEMBL1200604,True
ETHINYL ESTRADIOL,CHEMBL691,True
AMLODIPINE BENZOATE,CHEMBL4594262,True
FENCLOFENAC,CHEMBL15677,True
BENAZEPRIL HYDROCHLORIDE,CHEMBL1694,True
SALMETEROL,CHEMBL1263,True
MORICIZINE HYDROCHLORIDE,CHEMBL1200334,True
BETAMETHASONE SODIUM PHOSPHATE,CHEMBL1200762,True
LAZERTINIB MESYLATE,CHEMBL6068478,True
RIFAPENTINE,CHEMBL1660,True
FIDAXOMICIN,CHEMBL1255800,True
RIZATRIPTAN BENZOATE,CHEMBL1201032,True
ENTECAVIR ANHYDROUS,CHEMBL713,True
ERYTHROMYCIN STEARATE,CHEMBL1200510,True
SULFAGUANIDINE,CHEMBL338802,True
ALECTINIB,CHEMBL1738797,True
BUSULFAN,CHEMBL820,True
BUFORMIN,CHEMBL39736,True
PENCICLOVIR SODIUM,CHEMBL2079793,True
LAROTRECTINIB,CHEMBL3889654,True
TILBROQUINOL,CHEMBL1788385,True
AMOBARBITAL SODIUM,CHEMBL2105941,True
SODIUM FLUORIDE,CHEMBL1528,True
EPROSARTAN MESYLATE,CHEMBL1200987,True
RALTEGRAVIR POTASSIUM,CHEMBL518520,True
CYPROHEPTADINE HYDROCHLORIDE,CHEMBL1716,True
HYDROXYCHLOROQUINE SULFATE,CHEMBL1690,True
RIZATRIPTAN,CHEMBL905,True
LANINAMIVIR OCTANOATE,CHEMBL467058,True
"POTASSIUM PHOSPHATE, DIBASIC",CHEMBL1200459,True
RASAGILINE TARTRATE,CHEMBL6067988,True
CLOMACRAN PHOSPHATE,CHEMBL2104136,True
BENTIROMIDE,CHEMBL1200368,True
LITHIUM CARBONATE,CHEMBL1200826,True
