compound_name,smiles,mol_weight,source,found
RELEBACTAM,O.O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,366.4,chembl,True
OMEPRAZOLE MAGNESIUM,COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.[Mg+2],713.14,chembl,True
PHENSUXIMIDE,CN1C(=O)CC(c2ccccc2)C1=O,189.21,chembl,True
ISOPROTERENOL SULFATE,CC(C)NCC(O)c1ccc(O)c(O)c1.CC(C)NCC(O)c1ccc(O)c(O)c1.O.O.O=S(=O)(O)O,556.63,chembl,True
CODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,299.37,chembl,True
CARPHENAZINE,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,425.6,chembl,True
IOXAGLIC ACID,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I,1268.88,chembl,True
OXYBENZONE,COc1ccc(C(=O)c2ccccc2)c(O)c1,228.25,chembl,True
PROPARACAINE,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,294.39,chembl,True
CALCIUM CARBONATE,O=C([O-])[O-].[Ca+2],100.09,chembl,True
ACEBUTOLOL,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,336.43,chembl,True
AMISULPRIDE,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,369.49,chembl,True
LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.16,chembl,True
BROMFENAC SODIUM,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],766.35,chembl,True
TOCOPHEROL ACETATE,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,472.75,chembl,True
NOREPINEPHRINE BITARTRATE,NC[C@H](O)c1ccc(O)c(O)c1.O.O=C(O)C(O)C(O)C(=O)O,337.28,chembl,True
DOXYCYCLINE HYCLATE,CCO.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O,1025.89,chembl,True
TIZANIDINE,Clc1ccc2nsnc2c1NC1=NCCN1,253.72,chembl,True
SOTALOL,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,272.37,chembl,True
IXAZOMIB CITRATE,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1,517.13,chembl,True
REZAFUNGIN ACETATE,CC(=O)[O-].CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](OCC[N+](C)(C)C)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,1285.46,chembl,True
GUANETHIDINE,N=C(N)NCCN1CCCCCCC1,198.31,chembl,True
OXAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,286.72,chembl,True
EPINASTINE,NC1=NCC2c3ccccc3Cc3ccccc3N12,249.32,chembl,True
DRONEDARONE,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,556.77,chembl,True
LANINAMIVIR OCTANOATE,CCCCCCCC(=O)OC[C@@H](O)[C@@H](OC)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,472.54,chembl,True
PERHEXILINE,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,277.5,chembl,True
TICLOPIDINE,Clc1ccccc1CN1CCc2sccc2C1,263.79,chembl,True
PSEUDOEPHEDRINE SULFATE,CN[C@@H](C)[C@@H](O)c1ccccc1.CN[C@@H](C)[C@@H](O)c1ccccc1.O=S(=O)(O)O,428.55,chembl,True
ESTRADIOL ACETATE,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,314.43,chembl,True
IBREXAFUNGERP,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O,730.05,chembl,True
KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,531.44,chembl,True
TELITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,812.02,chembl,True
LINCOMYCIN,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,406.55,chembl,True
PEXIDARTINIB HYDROCHLORIDE,Cl.FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,454.28,chembl,True
LUMATEPERONE TOSYLATE,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12.Cc1ccc(S(=O)(=O)O)cc1,565.71,chembl,True
METHENAMINE,C1N2CN3CN1CN(C2)C3,140.19,chembl,True
METHSUXIMIDE,CN1C(=O)CC(C)(c2ccccc2)C1=O,203.24,chembl,True
TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,421.45,chembl,True
CRISABOROLE,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1,251.05,chembl,True
PHENFORMIN HYDROCHLORIDE,Cl.N=C(N)NC(=N)NCCc1ccccc1,241.73,chembl,True
THIOTHIXENE HYDROCHLORIDE,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.Cl.Cl.O.O,552.59,chembl,True
SOTAGLIFLOZIN,CCOc1ccc(Cc2cc([C@@H]3O[C@H](SC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,424.95,chembl,True
SUXAMETHONIUM,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,290.4,chembl,True
ESTRAMUSTINE PHOSPHATE SODIUM,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)([O-])[O-].[Na+].[Na+],564.35,chembl,True
METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,236.28,chembl,True
QUINAGOLIDE,CCCN1CC(NS(=O)(=O)N(CC)CC)CC2Cc3c(O)cccc3CC21,395.57,chembl,True
SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.19,chembl,True
DOXERCALCIFEROL,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,412.66,chembl,True
ISOSORBIDE MONONITRATE,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,191.14,chembl,True
PYROVALERONE HYDROCHLORIDE,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1.Cl,281.83,chembl,True
BUTORPHANOL,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,327.47,chembl,True
SULFISOXAZOLE DIOLAMINE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C.OCCNCCO,372.45,chembl,True
OXACILLIN,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,401.44,chembl,True
PRACTOLOL,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,266.34,chembl,True
BUTALBITAL,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,224.26,chembl,True
VILDAGLIPTIN,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,303.41,chembl,True
MOEXIPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,498.58,chembl,True
SAQUINAVIR MESYLATE,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O,766.96,chembl,True
PHENTERMINE HYDROCHLORIDE,CC(C)(N)Cc1ccccc1.Cl,185.7,chembl,True
TRAMADOL HYDROCHLORIDE,COc1cccc(C2(O)CCCCC2CN(C)C)c1.Cl,299.84,chembl,True
ESTETROL ANHYDROUS,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,304.39,chembl,True
PALIPERIDONE PALMITATE,CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,664.91,chembl,True
DEXTROMETHORPHAN,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,271.4,chembl,True
METAXALONE,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,221.26,chembl,True
TOFOGLIFLOZIN ANHYDROUS,CCc1ccc(Cc2ccc3c(c2)[C@]2(OC3)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,386.44,chembl,True
AVATROMBOPAG,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,649.67,chembl,True
TELOTRISTAT ETHYL,CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(O[C@H](c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1,574.99,chembl,True
METHAPYRILENE HYDROCHLORIDE,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,297.86,chembl,True
PENICILLIN V POTASSIUM,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+],388.49,chembl,True
TERIFLUNOMIDE,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,270.21,chembl,True
RIVAROXABAN,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,435.89,chembl,True
AVATROMBOPAG MALEATE,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1.O=C(O)/C=C\C(=O)O,765.74,chembl,True
CLOMIPHENE,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,405.97,chembl,True
PALIPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,426.49,chembl,True
HEXOCYCLIUM METHYLSULFATE,COS(=O)(=O)[O-].C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,428.6,chembl,True
FLUCICLOVINE F18,N[C@]1(C(=O)O)C[C@@H]([18F])C1,132.12,chembl,True
DOXEPIN,CN(C)CCC=C1c2ccccc2COc2ccccc21,279.38,chembl,True
INDALPINE,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,228.34,chembl,True
CHLORPROTHIXENE,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,315.87,chembl,True
PROTOKYLOL HYDROCHLORIDE,CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1.Cl,367.83,chembl,True
RITODRINE HYDROCHLORIDE,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1.Cl,323.82,chembl,True
ACETRIZOATE SODIUM,CC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I.O.[Na+],596.86,chembl,True
PALONOSETRON HYDROCHLORIDE,Cl.O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,332.88,chembl,True
PROCHLORPERAZINE MALEATE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,606.1,chembl,True
PHENYLEPHRINE HYDROCHLORIDE,CNC[C@H](O)c1cccc(O)c1.Cl,203.67,chembl,True
REGADENOSON,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1.O,408.38,chembl,True
HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,404.5,chembl,True
VALSARTAN,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,435.53,chembl,True
LEVOBUPIVACAINE HYDROCHLORIDE,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl,324.9,chembl,True
PROBUCOL,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,516.86,chembl,True
FAMCICLOVIR,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,321.34,chembl,True
RAMOSETRON HYDROCHLORIDE,Cl.Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21,315.8,chembl,True
PHENELZINE SULFATE,NNCCc1ccccc1.O=S(=O)(O)O,234.28,chembl,True
PINACIDIL,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C.O,263.35,chembl,True
DORIPENEM,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,420.51,chembl,True
DIETHYLCARBAMAZINE,CCN(CC)C(=O)N1CCN(C)CC1,199.3,chembl,True
OMEPRAZOLE,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,345.42,chembl,True
CHLORNAPHAZINE,ClCCN(CCCl)c1ccc2ccccc2c1,268.19,chembl,True
GRAZOPREVIR ANHYDROUS,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,766.92,chembl,True
PERGOLIDE MESYLATE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,410.61,chembl,True
PRAMIPEXOLE DIHYDROCHLORIDE,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O,302.27,chembl,True
CEFMETAZOLE SODIUM,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],493.53,chembl,True
MICONAZOLE NITRATE,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,479.15,chembl,True
BENZHYDROCODONE HYDROCHLORIDE,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341.Cl,439.94,chembl,True
OSPEMIFENE,OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,378.9,chembl,True
INAMRINONE,Nc1cc(-c2ccncc2)c[nH]c1=O,187.2,chembl,True
BUCLIZINE,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,433.04,chembl,True
FLECAINIDE ACETATE,CC(=O)O.O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,474.4,chembl,True
PARECOXIB,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,370.43,chembl,True
EDROPHONIUM CHLORIDE,CC[N+](C)(C)c1cccc(O)c1.[Cl-],201.7,chembl,True
LEVOMILNACIPRAN,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,246.35,chembl,True
SODIUM TETRADECYL SULFATE,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],316.44,chembl,True
PROPOXYCAINE HYDROCHLORIDE,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC.Cl,330.86,chembl,True
EVOGLIPTIN,CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,401.43,chembl,True
AMILORIDE HYDROCHLORIDE,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N.O.O,302.12,chembl,True
MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,153.14,chembl,True
FROVATRIPTAN,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,243.31,chembl,True
XENAZOIC ACID,CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1,375.42,chembl,True
ELEXACAFTOR,Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,597.66,chembl,True
TERBUTALINE,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,225.29,chembl,True
MEBENDAZOLE,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,295.3,chembl,True
FLIBANSERIN,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,390.41,chembl,True
FLUORODOPA,N[C@@H](Cc1cc(O)c(O)cc1F)C(=O)O,215.18,chembl,True
DARIFENACIN,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,426.56,chembl,True
DECITABINE,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,228.21,chembl,True
NALOXONE HYDROCHLORIDE DIHYDRATE,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl.O.O,399.87,chembl,True
POTASSIUM BITARTRATE,O=C([O-])[C@H](O)[C@@H](O)C(=O)O.[K+],188.18,chembl,True
PRIMIDONE,CCC1(c2ccccc2)C(=O)NCNC1=O,218.26,chembl,True
FLUPREDNISOLONE,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,378.44,chembl,True
RIMONABANT,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,463.8,chembl,True
ETHOPROPAZINE,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,312.48,chembl,True
CHLORTHALIDONE,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,338.77,chembl,True
LINDANE,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,290.83,chembl,True
PIPERACILLIN,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,517.56,chembl,True
MASOPROCOL,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,302.37,chembl,True
PIRTOBRUTINIB,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,479.43,chembl,True
CHLORAMPHENICOL SUCCINIC ACID,O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,423.2,chembl,True
PROPOXYPHENE,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,339.48,chembl,True
TERODILINE,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,281.44,chembl,True
ANAGRELIDE,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,256.09,chembl,True
TRIMETHOBENZAMIDE,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,388.46,chembl,True
TROFINETIDE,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,315.33,chembl,True
INAMRINONE LACTATE,CC(O)C(=O)O.Nc1cc(-c2ccncc2)c[nH]c1=O,277.28,chembl,True
TORSEMIDE,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,348.43,chembl,True
SPECTINOMYCIN HYDROCHLORIDE,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O.Cl.Cl.O.O.O.O.O,495.35,chembl,True
TALAPORFIN SODIUM,C=Cc1c(C)c2cc3nc(c(CC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)[O-])[C@@H](CCC(=O)[O-])[C@@H]3C.[Na+].[Na+].[Na+].[Na+],799.7,chembl,True
THIOSULFURIC ACID,O=S(O)(O)=S,114.15,chembl,True
CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.35,chembl,True
PAFOLACIANINE,CC1(C)C(/C=C/C2=C(Oc3ccc(C[C@H](NC(=O)c4ccc(NCc5cnc6nc(N)[nH]c(=O)c6n5)cc4)C(=O)[O-])cc3)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21.[H+].[H+].[H+].[H+],1326.52,chembl,True
RESCINNAMINE,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,634.73,chembl,True
PRAMOXINE HYDROCHLORIDE,CCCCOc1ccc(OCCCN2CCOCC2)cc1.Cl,329.87,chembl,True
IMIPENEM ANHYDROUS,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,299.35,chembl,True
BRETYLIUM TOSYLATE,CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1,414.37,chembl,True
SALMETEROL,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,415.57,chembl,True
BUMETANIDE,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,364.42,chembl,True
ADAGRASIB,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,604.13,chembl,True
CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.4,chembl,True
PENICILLIN V,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,350.4,chembl,True
ENALAPRILAT ANHYDROUS,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,348.4,chembl,True
RANITIDINE HYDROCHLORIDE,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.Cl,350.87,chembl,True
DAROLUTAMIDE,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,398.85,chembl,True
METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,211.22,chembl,True
URIDINE TRIACETATE,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,370.31,chembl,True
AZATADINE MALEATE,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,522.55,chembl,True
PILOCARPINE HYDROCHLORIDE,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,244.72,chembl,True
DISOPYRAMIDE PHOSPHATE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C.O=P(O)(O)O,437.48,chembl,True
TENOFOVIR DISOPROXIL,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,519.45,chembl,True
CYCLOBENZAPRINE HYDROCHLORIDE,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21.Cl,311.86,chembl,True
RISDIPLAM,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,401.47,chembl,True
ETHAMBUTOL HYDROCHLORIDE,CC[C@@H](CO)NCCN[C@@H](CC)CO.Cl.Cl,277.24,chembl,True
ACAMPROSATE CALCIUM,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],400.49,chembl,True
XENON XE 127,[127Xe],126.91,chembl,True
DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,314.47,chembl,True
DIQUAFOSOL TETRASODIUM,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+].[Na+].[Na+].[Na+],878.24,chembl,True
METHACYCLINE,C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,442.42,chembl,True
