compound_name,smiles,mol_weight,source
AMPICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,349.41,chembl
GALLAMINE,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,510.83,chembl
ATRACURIUM,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,929.16,chembl
PANCURONIUM,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,572.88,chembl
ARFORMOTEROL,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,344.41,chembl
PYRIDOXINE,Cc1ncc(CO)c(CO)c1O,169.18,chembl
DRONEDARONE,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,556.77,chembl
TERODILINE,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,281.44,chembl
AURANOFIN,,678.49,chembl
"SODIUM PHOSPHATE, MONOBASIC",O=P([O-])(O)O.[Na+],119.98,chembl
SODIUM CARBONATE,O=C([O-])[O-].[Na+].[Na+],105.99,chembl
VILAZODONE,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,441.54,chembl
BUDESONIDE,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,430.54,chembl
PENTAMIDINE ISETHIONATE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,592.69,chembl
PIRPROFEN,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,251.71,chembl
CHLORZOXAZONE,O=c1[nH]c2cc(Cl)ccc2o1,169.57,chembl
ARTESUNATE,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,384.43,chembl
BUFLOMEDIL,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,307.39,chembl
TRIPARANOL,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,438.01,chembl
METHYLENE BLUE CATION,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,284.41,chembl
OXIGLUTATIONE,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,612.64,chembl
MODAFINIL,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,273.36,chembl
ESFLURBIPROFEN,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,244.26,chembl
DEXIBUPROFEN,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,206.28,chembl
CANNABIDIOL,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,314.47,chembl
PALBOCICLIB,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,447.54,chembl
PROGUANIL,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,253.74,chembl
THIETHYLPERAZINE,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,399.63,chembl
ROFLUMILAST,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,403.21,chembl
ABACAVIR,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,286.34,chembl
TOLTERODINE,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,325.50,chembl
SAMIDORPHAN,NC(=O)c1ccc2c(c1O)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)CCC(=O)C3,370.45,chembl
PAROMOMYCIN,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,615.63,chembl
KANAMYCIN,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,484.50,chembl
TROFINETIDE,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,315.33,chembl
ESTRIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,288.39,chembl
NORETHYNODREL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,298.43,chembl
MONOBENZONE,Oc1ccc(OCc2ccccc2)cc1,200.24,chembl
LEVONORGESTREL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,312.45,chembl
SPIRONOLACTONE,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,416.58,chembl
MARALIXIBAT,CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O,674.97,chembl
METHYLTESTOSTERONE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,302.46,chembl
RIVAROXABAN,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,435.89,chembl
AMIKACIN,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,585.61,chembl
COCAINE,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,303.36,chembl
POSACONAZOLE,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,700.79,chembl
STREPTOMYCIN,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,581.58,chembl
DAUNORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,527.53,chembl
ANASTROZOLE,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,293.37,chembl
NITAZOXANIDE,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,307.29,chembl
PYROVALERONE,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,245.37,chembl
ELVITEGRAVIR,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,447.89,chembl
BRINCIDOFOVIR,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,561.70,chembl
RANOLAZINE,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,427.55,chembl
NETUPITANT,Cc1ccccc1-c1cc(N2CCN(C)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,578.60,chembl
ESTRONE,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,270.37,chembl
CHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,408.58,chembl
FLUVOXAMINE MALEATE,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O,434.41,chembl
NONOXYNOL 9,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,616.83,chembl
BREXANOLONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,318.50,chembl
EPHEDRINE,CN[C@@H](C)[C@H](O)c1ccccc1,165.24,chembl
PIPERAZINE,C1CNCCN1,86.14,chembl
CICLOPIROX,Cc1cc(C2CCCCC2)n(O)c(=O)c1,207.27,chembl
TAVABOROLE,OB1OCc2cc(F)ccc21,151.93,chembl
NEOSTIGMINE METHYLSULFATE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-],334.39,chembl
VINBLASTINE SULFATE,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,909.07,chembl
SIBUTRAMINE,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,279.86,chembl
PRALIDOXIME,C[n+]1ccccc1C=NO,137.16,chembl
FORODESINE,O=c1[nH]cnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,266.26,chembl
GARENOXACIN,C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,426.42,chembl
BOCEPREVIR,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,519.69,chembl
SAXAGLIPTIN ANHYDROUS,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,315.42,chembl
DASATINIB ANHYDROUS,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,488.02,chembl
SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,407.32,chembl
PIMOZIDE,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,461.56,chembl
TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,288.43,chembl
MERCAPTOPURINE ANHYDROUS,Sc1ncnc2nc[nH]c12,152.18,chembl
DIAZOXIDE,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,230.68,chembl
RIFAMPIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,822.95,chembl
DELAMANID,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,534.49,chembl
NIMODIPINE,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,418.45,chembl
DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.47,chembl
GANCICLOVIR,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,255.23,chembl
ACYCLOVIR,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,225.21,chembl
TELBIVUDINE,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,242.23,chembl
DORZOLAMIDE,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,324.45,chembl
BRINZOLAMIDE,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,383.52,chembl
TOPIRAMATE,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,339.37,chembl
LAROPIPRANT,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3,435.90,chembl
TOFACITINIB,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,312.38,chembl
FLUOROURACIL,O=c1[nH]cc(F)c(=O)[nH]1,130.08,chembl
PENICILLAMINE,CC(C)(S)[C@@H](N)C(=O)O,149.21,chembl
METFORMIN,CN(C)C(=N)NC(=N)N,129.17,chembl
DIQUAFOSOL,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,790.31,chembl
METHSCOPOLAMINE,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,318.39,chembl
DOXYCYCLINE ANHYDROUS,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,444.44,chembl
MINOCYCLINE,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,457.48,chembl
CEFAZOLIN,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,454.52,chembl
CEFUROXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,424.39,chembl
CEFEPIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,480.57,chembl
TIPRANAVIR,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,602.68,chembl
NOREPINEPHRINE,NC[C@H](O)c1ccc(O)c(O)c1,169.18,chembl
FAVIPIRAVIR,NC(=O)c1nc(F)cnc1O,157.10,chembl
ZANAMIVIR,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,332.31,chembl
TAZOBACTAM SODIUM,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],322.28,chembl
TIGECYCLINE,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,585.66,chembl
BROXYQUINOLINE,Oc1c(Br)cc(Br)c2cccnc12,302.95,chembl
BEDAQUILINE,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,555.52,chembl
TETRACYCLINE,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,444.44,chembl
ETHIONAMIDE,CCc1cc(C(N)=S)ccn1,166.25,chembl
RALTITREXED,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,458.50,chembl
PEMETREXED,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,427.42,chembl
DAPTOMYCIN,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1620.69,chembl
HYDROCORTISONE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,362.47,chembl
NAFCILLIN,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,414.48,chembl
BENZBROMARONE,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,424.09,chembl
LETROZOLE,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,285.31,chembl
EFAVIRENZ,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,315.68,chembl
ALOGLIPTIN BENZOATE,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1,461.52,chembl
FLUOXYMESTERONE,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,336.45,chembl
ALOGLIPTIN,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,339.40,chembl
KANAMYCIN SULFATE,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O.O=S(=O)(O)O,582.58,chembl
LINCOMYCIN,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,406.55,chembl
PRETOMANID,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,359.26,chembl
NICLOSAMIDE,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,327.12,chembl
TICARCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,384.44,chembl
ATOVAQUONE,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,366.84,chembl
MILRINONE,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,211.22,chembl
TRIAMCINOLONE,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,394.44,chembl
SELADELPAR,CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,444.47,chembl
LEVAMISOLE,c1ccc([C@H]2CN3CCSC3=N2)cc1,204.30,chembl
ALTRETAMINE,CN(C)c1nc(N(C)C)nc(N(C)C)n1,210.28,chembl
MYCOPHENOLATE MOFETIL,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,433.50,chembl
HYDROCODONE,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,299.37,chembl
SAFINAMIDE,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,302.35,chembl
FLIBANSERIN,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,390.41,chembl
AMISULPRIDE,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,369.49,chembl
ESKETAMINE,CN[C@]1(c2ccccc2Cl)CCCCC1=O,237.73,chembl
DIDANOSINE,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,236.23,chembl
DIOSMIN,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,608.55,chembl
FLUCYTOSINE,Nc1nc(=O)[nH]cc1F,129.09,chembl
WARFARIN,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.33,chembl
PHENPROCOUMON,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,280.32,chembl
DICUMAROL,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,336.30,chembl
SODIUM SULFATE ANHYDROUS,O=S(=O)([O-])[O-].[Na+].[Na+],142.04,chembl
TELAPREVIR,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,679.86,chembl
ALLOPURINOL,Oc1ncnc2[nH]ncc12,136.11,chembl
BENZIODARONE,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,518.09,chembl
MEPAZINE,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,310.47,chembl
RIFABUTIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,847.02,chembl
APIXABAN,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,459.51,chembl
PHENYLBUTANOIC ACID,O=C(O)CCCc1ccccc1,164.20,chembl
RIFAMYCIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,697.78,chembl
TIPIRACIL,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,242.67,chembl
APREPITANT,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,534.43,chembl
LINAGLIPTIN,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,472.55,chembl
FLUTICASONE PROPIONATE,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,500.58,chembl
TRIOXSALEN,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,228.25,chembl
CERIVASTATIN,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,459.56,chembl
CHENODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,392.58,chembl
DANAZOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,337.46,chembl
FELODIPINE,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,384.26,chembl
GLIMEPIRIDE,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,490.63,chembl
SELEXIPAG,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,496.63,chembl
BETHANECHOL,CC(C[N+](C)(C)C)OC(N)=O,161.22,chembl
ALBENDAZOLE,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,265.34,chembl
ATORVASTATIN CALCIUM,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],1155.36,chembl
NICARDIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,479.53,chembl
OXYPHENISATINE,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,317.34,chembl
LOSARTAN,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,422.92,chembl
SILDENAFIL,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,474.59,chembl
PEMAFIBRATE,CC[C@@H](Oc1cccc(CN(CCCOc2ccc(OC)cc2)c2nc3ccccc3o2)c1)C(=O)O,490.56,chembl
TICAGRELOR,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,522.58,chembl
TENOFOVIR DISOPROXIL FUMARATE,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C.O=C(O)/C=C/C(=O)O,635.52,chembl
ATORVASTATIN,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,558.65,chembl
URACIL MUSTARD,Oc1ncc(N(CCCl)CCCl)c(O)n1,252.10,chembl
AZACITIDINE,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,244.21,chembl
TRIHEXYPHENIDYL,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,301.47,chembl
AMLODIPINE,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,408.88,chembl
BENFLUOREX,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,351.37,chembl
