name,found,error,cid,smiles,mol_weight
Curcumin,True,,969516.0,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.4
Alln II,False,HTTP 404,,,
Lorglumide Sodium,True,,23681233.0,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],481.4
Tetramethylpyrazine,True,,14296.0,CC1=C(N=C(C(=N1)C)C)C,136.19
Phenoxybenzamine Hydrochloride,True,,5284441.0,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,340.3
Itraconazole,True,,55283.0,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,705.6
Eserine,True,,5983.0,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,275.35
Amikacin hydrate,True,,16218899.0,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.O,603.6
Vincristine sulfate,True,,249332.0,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,923.0
NSC170984 (Pimozide),False,HTTP 404,,,
Podofilox,True,,10607.0,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,414.4
Rotenone,True,,6758.0,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,394.4
Promazine Hydrochloride,True,,5887.0,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,320.9
I-BET,False,HTTP 404,,,
Thiostrepton,True,,16129666.0,CCC(C)C1C(=O)NC(C(=O)NC(=C)C(=O)NC(C(=O)NC23CCC(=NC2C4=CSC(=N4)C(C(OC(=O)C5=NC6=C(C=CC(C6O)N1)C(=C5)C(C)O)C)NC(=O)C7=CSC(=N7)C(NC(=O)C8CSC(=N8)/C(=C\C)/NC(=O)C(NC(=O)C9=CSC3=N9)C(C)O)C(C)(C(C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C,1664.9
Viramune,True,,4463.0,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,266.3
Nafadotride,True,,3408722.0,CCCCN1CCCC1CNC(=O)C2=C(C3=CC=CC=C3C(=C2)C#N)OC,365.5
Kanamycin A sulfate,True,,441374.0,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N.OS(=O)(=O)O,582.6
JS-K,True,,9572720.0,CCOC(=O)N1CCN(CC1)/[N+](=N/OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])/[O-],384.3
Levosulpiride,True,,688272.0,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,341.4
Dofetilide,True,,71329.0,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,441.6
Amlexanox,True,,2161.0,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,298.29
Genistein,True,,5280961.0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,270.24
"5,7,4Trimethoxyfavone",False,HTTP 404,,,
PNU-74654,True,,60119583.0,CC1=CC=C(O1)C=NNC(=O)C2=CC=CC=C2OC3=CC=CC=C3,320.3
Fluspirilene,True,,3396.0,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,475.6
Clofilium Tosylate,True,,175533.0,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl.CC1=CC=C(C=C1)S(=O)(=O)[O-],510.2
Cannabidiol,True,,644019.0,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,314.5
3-methoxycatechol,True,,13622.0,COC1=CC=CC(=C1O)O,140.14
"7,8-Dihydroxyflavone",True,,1880.0,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O,254.24
"6,7-Dihydroxyflavone",True,,5353357.0,C1=CC=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3O2)O)O,254.24
Chrysin,True,,5281607.0,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24
Ferulic Acid,True,,445858.0,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18
N-acetyl-L-cysteine,True,,12035.0,CC(=O)N[C@@H](CS)C(=O)O,163.2
Diamide,True,,5353800.0,CN(C)C(=O)/N=N/C(=O)N(C)C,172.19
Ascorbic acid,True,,54670067.0,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,176.12
Sucrose,True,,5988.0,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,342.30
"Alpha,beta-Trehalose",True,,10871590.0,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,342.30
25-Azacoprostane,True,,162243.0,C[C@H](CCCN(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CCCC4)C)C,373.7
Triolein,True,,5497163.0,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,885.4
Trielaidin,True,,5364673.0,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C/CCCCCCCC)COC(=O)CCCCCCC/C=C/CCCCCCCC,885.4
Eicosapentaenoic acid,True,,5282847.0,CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O,302.5
Palmitic acid,True,,985.0,CCCCCCCCCCCCCCCC(=O)O,256.42
Fluoranthene,True,,9154.0,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,202.25
Naringenin,True,,439246.0,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.25
Deferoxamine ,True,,2973.0,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,560.7
D-Erythro-MAPP,True,,124735.0,CCCCCCCCCCCCCC(=O)N[C@H](C)[C@H](C1=CC=CC=C1)O,361.6
C75,True,,4248455.0,CCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O,254.32
Creatine,True,,586.0,CN(CC(=O)O)C(=N)N,131.13
Citrate,True,,31348.0,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,189.10
"2,4-pyridinedicarboxylic acid",True,,10365.0,C1=CN=C(C=C1C(=O)O)C(=O)O,167.12
Zinc Sulfate,True,,24424.0,[O-]S(=O)(=O)[O-].[Zn+2],161.4
7-methyl-Dehydrosilybin,False,HTTP 404,,,
Menadione,True,,4055.0,CC1=CC(=O)C2=CC=CC=C2C1=O,172.18
dihydrozeatin,True,,439631.0,C[C@@H](CCNC1=NC=NC2=C1NC=N2)CO,221.26
cis-zeatin,True,,688597.0,C/C(=C/CNC1=NC=NC2=C1NC=N2)/CO,219.24
trans-zeatin,True,,449093.0,C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO,219.24
N6-isopentenyladenine,True,,92180.0,CC(=CCNC1=NC=NC2=C1NC=N2)C,203.24
"3,7-dimethylxanthine",True,,5429.0,CN1C=NC2=C1C(=O)NC(=O)N2C,180.16
KLH46,False,HTTP 404,,,
AA39-3,False,HTTP 404,,,
KT117,False,HTTP 404,,,
KT109,True,,53364540.0,C1CCN(C(C1)CC2=CC=CC=C2)C(=O)N3C=C(N=N3)C4=CC=C(C=C4)C5=CC=CC=C5,422.5
JJH248,False,HTTP 404,,,
Darapladib,True,,9939609.0,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F,666.8
KT186,False,HTTP 404,,,
JJH254,True,,71710938.0,C1CN(CCC1CCC2=CC=C(C=C2)Cl)C(=O)ON3C(=O)C4CN(CCN4C3=O)C(=O)N5CCOCC5,534.0
ABL127,True,,24856225.0,COC(=O)N1C(=O)[C@@](N1C(=O)OC)(C2CCCC2)C3=CC=CC=C3,332.4
AA26-9,True,,46829239.0,C1CCN(C1)C(=O)N2C=CN=N2,166.18
PF-04457845,True,,24771824.0,C1CN(CCC1=CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=NN=CC=C4,455.4
ABC84,False,HTTP 404,,,
AA74-1,False,HTTP 404,,,
JJH250,False,HTTP 404,,,
KC03,False,HTTP 404,,,
JJH331,False,HTTP 404,,,
JW480,True,,57330099.0,CC(C)C1=CC=CC=C1OC(=O)NCCC2=CC3=CC=CC=C3C=C2,333.4
ABC99,True,,134817170.0,C1CN2C(CN1CC3=CC=C(C=C3)Cl)C(=O)N(C2=O)OC(=O)N4CCOC5=CC=CC=C54,456.9
DH376,True,,129188688.0,C#CCO[C@@H]1CC[C@@H](N(C1)C(=O)N2N=CC(=N2)C(C3=CC=C(C=C3)F)(C4=CC=C(C=C4)F)O)CC5=CC=CC=C5,542.6
KT116,False,HTTP 404,,,
AA26-8,False,HTTP 404,,,
AA39-2,False,HTTP 404,,,
ABC32,False,HTTP 404,,,
KT138,False,HTTP 404,,,
ABC90,False,HTTP 404,,,
ABC45,False,HTTP 404,,,
ABC16,False,HTTP 404,,,
JJH221,False,HTTP 404,,,
AA26-3,False,HTTP 404,,,
JMN21,False,HTTP 404,,,
AA26-7,False,HTTP 404,,,
ABL303,True,,60143219.0,CCC1(C(=O)N(N1C(=O)OC(C)C)C(=O)OC(C)C)C2=CC=C(C=C2)C,362.4
JW1038,False,HTTP 404,,,
KLH40-1,False,HTTP 404,,,
Palmostatin B,True,,45100481.0,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCC2=CC(=C(C=C2)OC)OC,376.5
KT195,True,,53364533.0,COC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4C5=CC=CC=C5,438.5
JW651,True,,71656315.0,C1CN(CCN1C(C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)Cl)C(=O)OC(C(F)(F)F)C(F)(F)F,515.3
KC07,False,HTTP 404,,,
JJH253,False,HTTP 404,,,
ABC37,False,HTTP 404,,,
KC02,True,,86289034.0,C1=CC=C(C=C1)CCC2/C(=C/CCCCC(=O)N)/C(=O)O2,287.35
JW1036,False,HTTP 404,,,
KML29,True,,71656212.0,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC(C(F)(F)F)C(F)(F)F,549.4
MJN202,False,HTTP 404,,,
ABC91,False,HTTP 404,,,
ABC36,False,HTTP 404,,,
Uracil,True,,1174.0,C1=CNC(=O)NC1=O,112.09
Thymidine,True,,5789.0,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,242.23
Theobromine,True,,5429.0,CN1C=NC2=C1C(=O)NC(=O)N2C,180.16
Imatinib mesylate,True,,123596.0,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,589.7
Cardamonin,True,,641785.0,COC1=CC(=CC(=C1C(=O)/C=C/C2=CC=CC=C2)O)O,270.28
Ethoxzolamide,True,,3295.0,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,258.3
MG624,True,,6433339.0,CC[N+](CC)(CC)CCOC1=CC=C(C=C1)/C=C/C2=CC=CC=C2.[I-],451.4
Vortioxetine,True,,9966051.0,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,298.4
Methylbenzethonium Cl,False,HTTP 404,,,
Ritodrine hydrochloride,True,,3040551.0,C[C@H]([C@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O.Cl,323.8
Fluvoxamine,True,,5324346.0,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,318.33
