compound_name,smiles
abc99,C1CN2C(CN1CC3=CC=C(C=C3)Cl)C(=O)N(C2=O)OC(=O)N4CCOC5=CC=CC=C54
abl127,COC(=O)N1C(=O)C(N1C(=O)OC)(C2CCCC2)C3=CC=CC=C3
abl303,CCC1(C(=O)N(N1C(=O)OC(C)C)C(=O)OC(C)C)C2=CC=C(C=C2)C
acacetin 7-o-alpha-l-rhamnopyranosyl (1_2) beta-d-xylopyranoside,
acanthopanax sessiliflorus extract,
acanthophora spicifera extract,
acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
acetaminophen,CC(=O)NC1=CC=C(C=C1)O
acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
acetic acid,CC(=O)O
acivicin,C1C(ON=C1Cl)C(C(=O)O)N
aeg 3482,C1=CC=C(C=C1)C2=CN3C(=N2)SC(=N3)S(=O)(=O)N
ag-490,C1=CC=C(C=C1)CNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N
agmatine,C(CCN=C(N)N)CN
agrimonia procera extract,
alanine,CC(C(=O)O)N
allantoin,C1(C(=O)NC(=O)N1)NC(=O)N
alln,C(C1C(C(C(C(O1)O)N)O)O)O
alln ii,
alpelisib,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
"alpha,beta-trehalose",C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
alpha-ketoglutarate,C(CC(=O)[O-])C(=O)C(=O)[O-]
alpha-lipoic acid,C1CSSC1CCCCC(=O)O
alpha-santalol,CC(=CCCC1(C2CC3C1(C3C2)C)C)CO
alpha‐ketoisovalerate,
alpha‐keto‐beta‐methylvalerate,
alpha‐linolenic acid,
alsterpaullone,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-]
aluminium chloride,[Al](Cl)(Cl)Cl
aluminium nitrate,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Al+3]
aluminum acetylsalicylate,
aluminum potassium sulfate,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+]
aluminum sulfate,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3]
amethopterin,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
amikacin hydrate,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N.O
amlexanox,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
amn082,C1=CC=C(C=C1)C(C2=CC=CC=C2)NCCNC(C3=CC=CC=C3)C4=CC=CC=C4
amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
amperozide hydrochloride,CCNC(=O)N1CCN(CC1)CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F.Cl
ampicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C
angelica sinensis extract,
anisomycin,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O
antalarmin,CCCCN(CC)C1=NC(=NC2=C1C(=C(N2C3=C(C=C(C=C3C)C)C)C)C)C
anterior hypothalamus extract,
antimycin a,CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
aphs,CCCCC#CCSC1=CC=CC=C1OC(=O)C
apple extract,
arbutin,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
arctigenin,COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)OC
arctiin,COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)OC
arecoline,CN1CCC=C(C1)C(=O)OC
arginine,C(CC(C(=O)O)N)CN=C(N)N
argyreia boseana extract,
aronia extract,
arsenite,[O-][As]([O-])[O-]
ascorbic acid,C(C(C1C(=C(C(=O)O1)O)O)O)O
ascr#2,CC1C(CC(C(O1)OC(C)CCC(=O)C)O)O
ascr#3,CC1C(CC(C(O1)OC(C)CCCCC=CC(=O)O)O)O
asparagine,C(C(C(=O)O)N)C(=O)N
aspirin,CC(=O)OC1=CC=CC=C1C(=O)O
astaxanthin,CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C
astemizole,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
astragaloside iv,CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C
astragalus extract,
atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
au701,
auraptene,CC(=CCCC(=CCOC1=CC2=C(C=C1)C=CC(=O)O2)C)C
aurintricarboxylic acid,C1=CC(=C(C=C1C(=C2C=CC(=O)C(=C2)C(=O)O)C3=CC(=C(C=C3)O)C(=O)O)C(=O)O)O
auten-67,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)N3C=NC4=CC=CC=C43)NS(=O)(=O)C5=CC=C(C=C5)[N+](=O)[O-]
azacytidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
azd2281,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
bacitracin,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
baicalein,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
barium acetate,CC(=O)[O-].CC(=O)[O-].[Ba+2]
benzalkonium chloride,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]
benzethonium,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2
berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
beryllium sulfate,[Be+2].[O-]S(=O)(=O)[O-]
beta-alanine,C(CN)C(=O)O
beta-aminopropionitrile fumarate,C(CN)C#N.C(=CC(=O)O)C(=O)O
beta-carotene,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
beta-caryophyllene,CC1=CCCC(=C)C2CC(C2CC1)(C)C
beta-estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
beta-guanidinopropionic acid,C(CN=C(N)N)C(=O)O
beta-santalol,CC(=CCCC1(C2CCC(C2)C1=C)C)CO
betaine,C[N+](C)(C)CC(=O)[O-]
betula utilis extract,
bezafibrate,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl
bia 10-2474,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=C[N+](=CC=C3)[O-]
bia 10-2639,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=CN=CC=C3
biotin,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
"bis(1-hydroxy-2,2,6,6-tetramethyl-4-piperidinyl)-decandioate",
bismuth sodium tryglycollamate,
black rice extract,
black tea extract,
blackcurrant extract,
blueberry extract,
bp-c3 (benzenepolycarboxylic acids mixture),
branched-chain amino acids,
brl 15572,C1CN(CCN1CC(C(C2=CC=CC=C2)C3=CC=CC=C3)O)C4=CC(=CC=C4)Cl
brl 50481,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)C
broccoli extract,
btcp hydrochloride,C1CCC(CC1)(C2=CC3=CC=CC=C3S2)N4CCCCC4.Cl
buckwheat trypsin inhibitor,
buformin,CCCCN=C(N)N=C(N)N
bupivacaine hydrochloride,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl
butaclamol hydrochloride,CC(C)(C)C1(CCN2CC3C4=CC=CC=C4CCC5=C3C(=CC=C5)C2C1)O.Cl
butein,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O
buthionine sulfoximine,CCCCS(=N)(=O)CCC(C(=O)O)N
buthus martensii karsch polypeptide toxin,
butylated hydroxyanisole,
butylated hydroxytoluene,
c60 fullerene,C12=C3C4=C5C6=C1C7=C8C9=C1C%10=C%11C(=C29)C3=C2C3=C4C4=C5C5=C9C6=C7C6=C7C8=C1C1=C8C%10=C%10C%11=C2C2=C3C3=C4C4=C5C5=C%11C%12=C(C6=C95)C7=C1C1=C%12C5=C%11C4=C3C3=C5C(=C81)C%10=C23
c75,CCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O
cadmium chloride,Cl[Cd]Cl
caffeic acid,C1=CC(=C(C=C1C=CC(=O)O)O)O
caffeic acid phenethylester,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
calcium dichloride,[Cl-].[Cl-].[Ca+2]
calcium gluconate,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Ca+2]
calcium lactate,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2]
calcium pantothenate,CC(C)(CO)C(C(=O)NCCC(=O)[O-])O.CC(C)(CO)C(C(=O)NCCC(=O)[O-])O.[Ca+2]
calycosin,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O
canagliflozin,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F
candesartan cilexetil,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
cannabidiol,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O
capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
caprylate,CCCCCCCC(=O)[O-]
capsaicin,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
captopril,CC(CS)C(=O)N1CCCC1C(=O)O
carbidopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
carbinoxamine maleate,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O
carbonylcyanide-3-chlorophenylhydrazone,C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N
cardamonin,COC1=CC(=CC(=C1C(=O)C=CC2=CC=CC=C2)O)O
carglumic acid,C(CC(=O)O)C(C(=O)O)NC(=O)N
carnosic acid,CC(C)C1=C(C(=C2C(=C1)CCC3C2(CCCC3(C)C)C(=O)O)O)O
carnosine,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN
carnosol,CC(C)C1=C(C(=C2C(=C1)C3CC4C2(CCCC4(C)C)C(=O)O3)O)O
carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
casein,
casin,C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)C4=CC=CC=C4)NCCO
catechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
cefazolin sodium,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+]
ceftriaxone disodium salt,CN1C(=NC(=O)C(=O)[N-]1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+].[Na+]
celastrol,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O
celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
centylpyridinium-cl,
ceoxide beads,
cetylpyridinium chloride,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]
cgp37157,C1C(=O)NC2=C(C=C(C=C2)Cl)C(S1)C3=CC=CC=C3Cl
chicoric acid,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O
chloramphenicol,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
chlorhexidine,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
chlorogenic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
chlorophenyalanine,
chlorophyll,CCC1=C(C2=[NH+]C1=CC3=C(C4=C(C(C(=C4[N-]3)C5=[NH+]C(=C(C5CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C)C=C6C(=C(C(=C2)[N-]6)C=C)C)C(=O)OC)O)C)C.[Mg+2]
chlorophytum borivilianum  extract,
chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
chlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
chlorpheniramine maleate,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O
chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
chlorpromazine chloride,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl
chlorprothixene hydrochloride,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl
choline chloride,C[N+](C)(C)CCO.[Cl-]
chrysanthemum extract,
chrysin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
ciclopirox olamine,CC1=CC(=O)N(C(=C1)C2CCCCC2)O.C(CO)N
cinnamon extract,
cinnarizine,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
cinoxacin,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
cis-(z)-flupenthixol dihydrochloride,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl
cis-vaccenic acid,CCCCCCC=CCCCCCCCCCC(=O)O
cis-zeatin,CC(=CCNC1=NC=NC2=C1NC=N2)CO
citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
clofilium tosylate,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl.CC1=CC=C(C=C1)S(=O)(=O)[O-]
cms121,C1CCC(C1)OC2=CC(=NC3=CC=CC=C32)C4=CC(=C(C=C4)O)O
cocoa extract,
coenzyme q10,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
coix seed oil,
colanic acid,CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C
colchine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
cordyceps sinensis oral liquid,
cortexolone maleate,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCN3CCN(CC3)C4=CC=CC=C4OC.C(=CC(=O)O)C(=O)O
cortisone,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C
cranberry extract,
